Hospital,Address,City,State,Zip,County/district,RUCA,CBSA,Medicare Payment,# of Beds,Closure Month,Closure Year,"Complete Closure (0);
Converted Closure (1)",updated 6/19/2026,state_full_name,Median_HH_Income,Median_HH_Income_MOE,Total_Population,Pop_White_NonHispanic,Pop_Black,Pop_AIAN,Pop_Hispanic
Randolph Medical Ctr,59928 HIGHWAY 22   P O BOX 670,Roanoke,AL,36274,Randolph,7.2,Neither,CAH,12,March,2011,0,,Alabama,51551,7179,22310,16579,3677,22,635
Franciscan Skemp Medical Center,464 S ST JOSEPH AVE,Arcadia,WI,54612,Trempealeau,7.0,Neither,CAH,25,March,2011,1,,Wisconsin,71295,3302,30786,25992,153,42,3914
Lakeside Medical Center,129 6TH AVE SE,Pine City,MN,55063,Pine,7.1,Neither,PPS,10,December,2010,0,,Minnesota,69666,1948,29411,25935,654,623,786
Holy Infant Hospital,"512 MAIN STREET, BOX 158",Hoven,SD,57450,Potter,10.0,Neither,SCH,22,October,2010,1,,South Dakota,71726,15190,2430,2196,47,25,0
Kingsburg Medical Center,1200 SMITH ST,Kingsburg,CA,93631,Fresno,4.1,Metro,PPS,15,May,2010,0,,California,71434,1034,1012152,273299,42060,4074,547669
Crawley Memorial Hospital,315 W COLLEGE AVE,Boiling Springs,NC,28017,Cleveland,5.0,Micro,MDH,60,December,2009,0,,North Carolina,55769,2864,100170,71127,18385,219,4426
Pike County Hospital,315 E 13TH ST,Murfreesboro,AR,71958,Pike,10.0,Neither,MDH,32,November,2009,0,,Arkansas,51000,4117,10182,8553,392,1,801
N M  Holderman Memorial Hospital,260 CALIFORNIA DR,Yountville,CA,94599,Napa,7.1,Metro,PPS,20,August,2009,1,,California,108970,3018,136070,67232,2440,254,48801
Woodland Medical Ctr,1910 CHEROKEE AVENUE SW,Cullman,AL,35055,Cullman,4.0,Micro,MDH,50,July,2009,0,,Alabama,60916,2736,89463,80673,957,189,4346
Amsterdam Memorial Hospital,4988 STATE HIGHWAY 30,Amsterdam,NY,12010,Montgomery,2.0,Micro,PPS,24,June,2009,1,,New York,62923,3436,49461,38786,1270,19,7495
Jenkins Community Hospital,9480 HIGHWAY 805,Jenkins,KY,41537,Letcher,5.0,Neither,CAH,25,May,2009,1,,Kentucky,40501,4196,21146,20459,157,6,159
Doctors Hospital Of Opelousas,3983 I 49 SOUTH SERVICE ROAD,Opelousas,LA,70570,St. Landry Parish,2.0,Micro,PPS,117,April,2009,1,,Louisiana,45637,3082,82128,43577,32809,106,2338
Albert Lindley Lee Memorial Hospital,510 SOUTH FOURTH STREET,Fulton,NY,13069,Oswego,4.1,Metro,PPS,67,April,2009,1,,New York,68461,2888,117945,108049,1160,125,3778
Richardton Health Center,212 3RD AVE WEST,Richardton,ND,58652,Stark,10.0,Micro,CAH,25,April,2009,1,,North Dakota,80744,3483,33116,28265,777,351,2304
Wm B Kessler Memorial Hospital,600 SO WHITE HORSE PIKE,Hammonton,NJ,8037,Atlantic,4.1,Metro,PPS,83,March,2009,1,,New Jersey,76819,2168,274704,149802,36256,244,54686
Trinity Community Hospital,506 NW 4TH ST,Jasper,FL,32052,Hamilton,7.1,Neither,PPS,42,August,2008,0,,Florida,47696,8751,13445,7424,4146,71,1478
Dickerson Memorial Hospital,1001 DICKERSON DRIVE,Jasper,TX,75951,Jasper,7.0,Neither,PPS,24,July,2008,0,,Texas,49919,3157,32807,24190,5061,2,2248
Richwood Area Community Hospital,RIVERSIDE ADDITION,Richwood,WV,26261,Nicholas,8.1,Neither,CAH,25,June,2008,0,,West Virginia,49280,5012,24446,23588,74,9,130
Indian Valley Hospital,184 HOT SPRINGS ROAD,Greenville,CA,95947,Plumas,8.0,Neither,SCH,26,April,2008,0,,California,64946,4399,19607,16039,132,228,1965
Taylor Telfair Regional Hospital,HIGHWAY 341,McRae,GA,31055,Telfair,7.0,Neither,CAH,15,April,2008,0,,Georgia,44948,11332,12174,5785,4347,2,1884
Deer Park Hospital,1015 EAST D STREET,Deer Park,WA,99006,Spokane,2.0,Metro,CAH,25,March,2008,0,,Washington,73513,1384,544323,444020,10372,4217,37356
Owyhee Community Health Facility,PO BOX 130,Owyhee,NV,89832,Elko,10.0,Micro,CAH,15,November,2007,1,,Nevada,83427,5900,53852,33773,456,2057,13821
Five Counties Hospital - Critical Access Hospital,405 SIXTH AVENUE WEST,Lemmon,SD,57638,Perkins,10.0,Neither,CAH,4,October,2007,1,,South Dakota,65455,8206,3058,2875,0,76,26
Pawnee Municipal Hospital,1212 FOURTH STREET,Pawnee,OK,74058,Pawnee,10.0,Metro,PPS,25,August,2007,0,,Oklahoma,57551,4389,15689,11755,151,1395,558
Ft Yuma PHS Indian Hosp,PO BOX 1368,Yuma,AZ,85366,Yuma,1.0,Metro,CAH,15,June,2007,0,,Arizona,60417,1438,207685,61490,3233,1869,133743
Tuolumne General Hosp,101 E HOSPITAL ROAD,Sonora,CA,95370,Tuolumne,4.0,Micro,PPS,80,June,2007,0,,California,72259,5678,54873,43120,881,539,7250
St Lukes Hospital,1333 SOUTHVIEW DRIVE POB 1190,Bluefield,WV,24701,Mercer,4.0,Micro,MDH,79,May,2007,1,,West Virginia,47799,3257,59062,52508,2455,169,771
Divine Providence Health Center,"312 E GEORGE ST, BOX 136",Ivanhoe,MN,56142,Lincoln,10.0,Neither,CAH,18,March,2007,1,,Minnesota,67715,3078,5594,5271,9,8,131
Frye Regional Medical Center Alexander Campus,326 THIRD STREET SW,Taylorsville,NC,28681,Alexander,2.0,Metro,CAH,23,February,2007,0,,North Carolina,65268,5441,36440,31262,1468,4,1950
USPHS Clinton Indian Hospital,RT 4 Box 213,Clinton,OK,73601,Custer,7.0,Micro,IHS,11,January,2007,1,,Oklahoma,57562,3348,28332,18786,747,1241,5530
St Joseph's Hospital Of Huntingburg,1900 MEDICAL ARTS DRIVE,Huntingburg,IN,47542,Dubois,5.0,Micro,CAH,25,January,2007,0,,Indiana,71918,3016,43563,38085,387,34,4220
Guyan Valley Hospital,396 DINGESS ST,Logan,WV,25601,Logan,2.0,Micro,CAH,8,December,2006,0,,West Virginia,47237,3529,31826,30473,591,2,255
PHS Indian Hospital at Sisseton,5 Chestnut St,Sisseton,SD,57262,Roberts,10.0,Neither,IHS,18,October,2006,1,,South Dakota,63691,3611,10219,5816,34,3673,243
Leelanau Memorial Health Center,215 S HIGH ST,Northport,MI,49670,Leelanau,10.0,Micro,CAH,23,September,2006,1,,Michigan,91943,5987,22607,20202,85,547,964
Mission Family Health Center (Yancey Community Medical Ctr),320 PENSACOLA ROAD,Burnsville,NC,28714,Yancey,2.0,Neither,CAH,6,September,2006,0,,North Carolina,54961,5646,18676,17052,104,23,1051
Cedar Vale Community Hospital,501 CEDAR ST P O BOX 398,Cedar Vale,KS,67024,Chautauqua,10.0,Neither,CAH,25,August,2006,0,,Kansas,54592,3631,3370,2788,32,84,161
Chowchilla District Mem Hospital,1104 VENTURA AVENUE,Chowchilla,CA,93610,Madera,4.0,Metro,PPS,24,June,2006,1,,California,75496,2389,158790,48992,3846,833,95835
Dos Palos Memorial Hospital,2118 MARGUERITE ST,Dos Palos,CA,93620,Merced,7.2,Metro,PPS,17,June,2006,1,,California,65044,2052,285597,69294,7773,660,178961
Good Hope Hospital,410 DENIM DR  PO BOX 668,Erwin,NC,28339,Harnett,4.3,Micro,PPS,43,April,2006,1,,North Carolina,69012,3266,136503,80462,27741,782,19970
Philipsburg Area Hospital,210 LOCH LOMOND ROAD,Philipsburg,PA,16866,Centre,2.0,Metro,CAH,25,April,2006,0,,Pennsylvania,72748,1937,158041,131999,5073,178,5630
Cornerstone Healthcare Of Illinois,400 PLUM STREET,Carmi,IL,62821,White,7.0,Neither,CAH,25,December,2005,1,,Illinois,53097,4680,13708,13130,90,3,205
Gadsden Community Hospital,23186 BLUE STAR HWY,Quincy,FL,32351,Gadsden,2.0, Metro,CAH,25,November,2005,1,,Florida,46047,4137,43642,13744,23848,46,5180
Newport Hosp And Clinic,2000 MCLAIN STREEET,Newport,AR,72112,Jackson,7.0,Neither,PPS,86,October,2005,0,,Arkansas,41215,4056,16775,12687,2468,86,515
Fayette Memorial Hospital,543 N JACKSON,La Grange,TX,78945,Fayette,7.0,Neither,PPS,24,July,2005,0,,Texas,76541,4186,24783,17308,1431,19,5355
Deleon Hospital,407 S TEXAS,De Leon,TX,76444,Comanche,10.0,Neither,CAH,14,July,2005,0,,Texas,59946,9129,13786,9196,70,25,4002
Minnewaska District Hosp,610 W 6TH ST PO BOX 160,Starbuck,MN,56381,Pope,10.0,Neither,CAH,19,June,2005,0,,Minnesota,72205,3155,11363,10697,69,18,223
Gulf Pines Hospital,102 20TH ST,Port Saint Joe,FL,32456,Gulf,7.1,Metro,PPS,45,March,2005,0,,Florida,67361,11525,14772,11414,2037,29,656
Kings Daughters Hospital-Greenville,300 SOUTH WASHINGTON AVENUE,Greenville,MS,38701,Washington,4.0,Micro,PPS,99,March,2005,1,,Mississippi,40117,3242,43674,10520,31460,32,655
